Kurtosis;Impulse factor;RMS;Margin factor;Skewness;Shape factor;Peak to peak;Crest factor;Label
8.464772361;16.72318767;2.435229661;0.009961819;0.409879918;689.3510973;0.115706448;0.024259318;2
10.08869885;18.53435603;2.396165231;0.011107403;0.671627524;696.3830712;0.115435009;0.026615173;2
7.921014469;16.36878407;2.424162549;0.00956817;0.658339604;705.7092545;0.098820576;0.023194799;2
6.974977155;16.94317132;2.120184811;0.011693863;0.675813105;683.3811039;0.08273975;0.024793152;2
5.981412855;13.87622195;1.918906027;0.010583635;0.666786808;683.2547544;0.068722559;0.020309002;2
3.745485192;10.5531891;1.742535109;0.009076884;0.706281858;667.2143935;0.047246264;0.015816789;2
4.694268528;11.81661379;1.733311278;0.010074471;0.684463204;676.6969421;0.055771639;0.017462195;2
5.066299247;14.20066917;1.416563753;0.015130389;0.843870486;662.5559855;0.045775899;0.021433161;2
3.609079484;11.311508;1.310870902;0.013220582;0.54429802;652.6945799;0.038179537;0.017330476;2
2.558733237;9.524920267;1.253220296;0.011652207;0.781665248;652.2675115;0.032526063;0.014602782;2
6.14987943;11.75807688;5.247587539;0.003115039;-0.024396499;719.3051726;0.167266675;0.016346437;3
5.947779166;12.51515507;6.217538699;0.002826866;0.059411926;712.0532974;0.212160491;0.017576149;3
6.628231983;13.19672908;6.886525793;0.002675665;0.138018391;716.2002112;0.250324067;0.018426033;3
6.858752058;14.74298014;8.462171237;0.002385761;-0.05681615;730.2583526;0.317377489;0.020188718;3
7.436387466;14.36068597;8.935987687;0.002195574;-0.173066532;731.9551259;0.335832199;0.019619626;3
7.85335377;16.55152388;10.21201513;0.002244907;-0.092617397;721.9849633;0.444914519;0.022925026;3
8.055382914;16.65302342;10.36716428;0.002212931;-0.155174608;725.8807479;0.463512892;0.022941817;3
13.18221418;23.74195834;9.324980299;0.003380864;-0.204323219;753.0796034;0.571595704;0.031526492;3
6.685411073;14.11300703;8.015613251;0.002412914;-0.202870058;729.6943616;0.30884654;0.019340984;3
7.101244061;14.34614359;7.088029096;0.002781289;0.030062776;727.7187997;0.262309328;0.019713856;3
8.451776495;17.58337788;9.161418823;0.002604083;-0.275409493;737.0293166;0.412983888;0.023857094;3
6.525002729;14.79719316;8.149278346;0.00251357;-0.165131594;722.3859419;0.301829704;0.020483778;3
5.777857546;11.67382607;7.152809595;0.002266414;0.016613914;720.1073289;0.225394467;0.016211231;3
7.211131607;16.18218056;6.392647294;0.003502708;0.061034191;722.6905721;0.260149954;0.022391576;3
6.447935233;12.80474457;5.657222858;0.003141075;-0.070539191;720.5918933;0.198056355;0.017769759;3
5.811942536;13.80825553;6.00740889;0.003241271;-0.107065136;709.1469882;0.217235194;0.019471641;3
6.191962207;13.43980926;7.072666081;0.002651617;0.022277867;716.6368618;0.245440365;0.018754002;3
6.398974882;13.03938294;7.769720994;0.002327373;-0.021233857;721.0834882;0.271549403;0.018083042;3
7.059996825;13.86765929;8.547854818;0.002208843;-0.304333322;734.482003;0.310349122;0.01888087;3
8.171363558;18.01576594;9.836842899;0.00252843;-0.195370239;724.3460106;0.452051394;0.024871768;3
2.881603694;9.519275808;2.160481267;0.006646769;-0.051707942;662.8920272;0.058744886;0.014360221;1
2.570252975;8.950549329;2.042949289;0.006649763;0.047749362;658.8490971;0.051800302;0.013585128;1
2.834095759;9.552925892;1.884462839;0.00768522;0.007941533;659.6180303;0.052549512;0.014482512;1
3.775927078;11.64892777;1.872356229;0.00928861;-0.116129973;669.802485;0.058845447;0.017391586;1
5.075070737;15.74634531;1.672984043;0.014048597;0.103113429;669.9694747;0.071986678;0.023503079;1
2.655642961;9.02685682;1.42939777;0.009641458;0.133298545;654.9991432;0.037296623;0.013781479;1
2.512051658;10.033075;1.304253532;0.011786328;0.057131178;652.6698196;0.037986317;0.015372359;1
2.940255184;10.44948447;1.535290585;0.010363622;0.157919532;656.7388753;0.047566748;0.015911171;1
2.791381759;10.47716009;1.736299118;0.009230923;0.062115883;653.6931283;0.052311255;0.016027643;1
2.543773184;10.02053298;1.821576737;0.00844564;0.032524744;651.3445303;0.05048651;0.015384382;1
3.267010325;11.09524411;1.202441182;0.013989899;0.060966712;659.5662564;0.039476413;0.016822031;1
2.391990431;8.194573974;1.47589641;0.008472431;0.157817976;655.3336621;0.03503644;0.01250443;1
2.277395415;8.206981838;1.623818054;0.007777438;0.036089906;649.8446323;0.040469515;0.012629145;1
2.481956677;7.964301723;1.815351891;0.00666565;-0.109918783;658.1795546;0.041889534;0.0121005;1
3.27180666;14.53410904;1.939649251;0.011381092;0.044446734;658.3870395;0.070377947;0.022075327;1
2.370212444;8.200495719;2.128048367;0.005904704;0.01544587;652.6201489;0.052818032;0.012565496;1
2.944917667;11.3771188;2.205840511;0.007797976;0.092413944;661.4184608;0.069675591;0.01720109;1
3.296903461;10.16488198;2.176474491;0.007005262;-0.047910008;666.6906258;0.063846753;0.015246775;1
2.967665669;12.32048751;2.033212276;0.009197607;0.068005205;658.8253861;0.066846889;0.018700687;1
2.431414983;8.881214095;1.781454053;0.007603573;0.006939749;655.6620046;0.044820737;0.013545415;1
4.617091571;13.19264853;1.58292349;0.012406575;-0.380141047;671.7693051;0.055684748;0.019638659;2
4.208806811;11.28530742;1.818711838;0.009212195;-0.24022445;673.5756439;0.057304187;0.016754328;2
10.87303226;20.20016705;1.910550639;0.015075947;-0.080087571;701.3128836;0.098152247;0.028803359;2
9.149363743;18.37180974;1.943403158;0.013539771;-0.106265908;698.1965555;0.090710795;0.026313235;2
9.163438832;15.14313955;2.076815808;0.010318682;-0.124614674;706.6327003;0.08246547;0.021430001;2
10.83271594;17.94880572;2.26919307;0.011117393;-0.020724915;711.4774542;0.113305035;0.025227512;2
6.498043475;12.60458605;2.265617997;0.007994996;-0.223305849;695.8628103;0.081855218;0.018113608;2
11.40083497;19.93236683;2.397791969;0.011703871;0.025197216;710.2608001;0.124287949;0.028063448;2
9.99610181;17.95563911;2.494168569;0.010056314;-0.159925828;715.8734533;0.115415358;0.025082141;2
7.399861897;16.50246401;2.643502195;0.008923729;-0.160705821;699.5564365;0.109163861;0.023589897;2
6.218542043;12.75540619;10.05418386;0.001769251;-0.046052032;717.0641767;0.347680729;0.017788375;3
7.439131632;15.07440323;8.68382729;0.002367918;-0.237660941;733.0983622;0.334875126;0.020562593;3
6.986196456;15.93388577;7.940165768;0.002754401;-0.101841489;728.5593801;0.323531135;0.021870401;3
6.078239233;12.14860698;7.204881045;0.002337404;0.03864596;721.3828277;0.236550449;0.016840721;3
6.043431857;13.05593612;6.579062122;0.002780444;0.112928066;713.7232803;0.235524376;0.018292714;3
6.985061836;15.17430519;5.613514179;0.003784606;0.072252357;714.2549905;0.222254903;0.021244941;3
7.270189045;15.56168075;4.879465391;0.004416188;0.00011441;722.1654899;0.18581275;0.021548635;3
7.452165396;16.41700287;4.311716851;0.005292793;-0.10302545;719.38058;0.173069538;0.022821026;3
