Label;principal component 1;principal component 2
Fault;-0.108112406;-0.016615615
Fault;0.044415098;-0.003322172
Fault;-0.103539309;-0.015471777
Fault;-0.101555702;-0.017957102
Fault;-0.119139374;-0.018625507
Fault;-0.091706838;-0.015503724
Fault;-0.091409564;-0.01534957
Fault;-0.103270341;-0.015123526
Fault;-0.086634458;-0.013462721
Fault;-0.093316113;-0.012721784
Fault;-0.104039398;-0.012661568
Fault;-0.106421923;-0.012719723
Fault;-0.094896663;-0.010729413
Fault;-0.110595086;-0.017422409
Fault;-0.103192021;-0.015735796
Fault;-0.107448957;-0.015252871
Fault;-0.103196033;-0.014701608
Fault;-0.11243784;-0.014610373
Fault;-0.092093429;-0.013426333
Fault;-0.105614496;-0.014440945
Fault;-0.112036558;-0.015724586
Fault;-0.127027685;-0.017408262
Fault;-0.106394245;-0.017045035
Fault;0.132501614;0.005465792
Fault;0.137463734;0.00711674
Fault;0.121111513;0.009746075
Fault;0.15465838;0.013670506
Fault;0.155127781;0.016947673
Fault;0.128597609;0.019807232
Fault;0.103507682;0.023593038
Fault;0.115852621;0.029188702
Fault;0.108610024;0.031807685
Fault;0.126197558;0.038723117
Fault;-0.103332472;-0.017913442
Fault;-0.114303503;-0.01760462
Fault;-0.116620629;-0.016677585
Fault;-0.098843751;-0.015074639
Fault;-0.119690488;-0.016042408
Fault;-0.099428516;-0.014419701
Fault;-0.120012095;-0.014621452
Fault;-0.11529219;-0.013554693
Fault;-0.11455586;-0.011903754
Fault;-0.098275067;-0.01126726
Fault;0.095623256;-0.000883029
Fault;0.042864576;-0.004341186
Fault;0.113955305;0.001872389
Fault;0.121946328;-0.000985968
Fault;-0.014284288;-0.009340091
Fault;0.056176381;-0.003952833
Fault;0.110864065;-0.001881518
Fault;0.079765241;-0.001586024
Fault;0.026676246;-0.005419232
Fault;0.041167467;-0.004232195
Fault;-0.106969511;-0.016184392
Fault;-0.096462329;-0.015189722
Fault;-0.105727124;-0.015116413
Fault;-0.103668653;-0.013715888
Fault;-0.095893067;-0.013157159
Fault;-0.085809549;-0.012416872
Fault;-0.107454146;-0.014925721
Fault;-0.087601263;-0.014025006
Fault;-0.104254547;-0.0150214
Fault;-0.105145351;-0.016201561
Fault;-0.107798959;-0.011974313
Fault;-0.104312157;-0.012230913
Fault;-0.101419613;-0.013570486
Fault;-0.096933279;-0.013327971
Fault;-0.12578457;-0.015650244
Fault;-0.104408793;-0.015506361
Fault;-0.101730751;-0.016787897
Fault;-0.095279488;-0.016897478
Fault;-0.107768234;-0.019045173
Fault;-0.112413121;-0.020599695
Fault;0.017100247;-0.004899663
Fault;0.078749315;-0.000265553
Fault;0.031557322;-0.006294296
Fault;0.027653365;-0.00614122
Fault;0.01012169;-0.008163433
Fault;-0.045024455;-0.012302314
Fault;-0.081555378;-0.016288493
Fault;-0.060433434;-0.015799061
Fault;-0.087337882;-0.01634251
Fault;-0.128537008;-0.021368094
Healthy;-0.099288318;-0.014585638
Healthy;-0.139659671;-0.016436507
Healthy;-0.12298081;-0.015948815
Healthy;-0.106017754;-0.015947119
Healthy;-0.121321608;-0.017595348
Healthy;-0.117572193;-0.017883446
Healthy;-0.114412436;-0.018443525
Healthy;-0.113276454;-0.018916366
Healthy;-0.113509332;-0.019428206
Healthy;-0.119082433;-0.020904315
Fault;0.160368978;0.036632118
Fault;0.149552609;0.031556268
Fault;0.145101958;0.027252809
Fault;0.233773862;0.027824219
Fault;0.156030856;0.019427985
Fault;0.173361197;0.01749111
Fault;0.125810058;0.011360172
Fault;0.124727335;0.009234663
Fault;0.175504842;0.007526295
Fault;0.179674104;0.005685299
Healthy;-0.114399471;-0.020321261
Healthy;-0.106797829;-0.019146364
Healthy;-0.105979031;-0.018507769
Healthy;-0.111607734;-0.018553585
Healthy;-0.083533684;-0.016309103
Healthy;-0.119932539;-0.018148088
Healthy;-0.108706094;-0.017053389
Healthy;-0.104509595;-0.016104666
Healthy;-0.07298363;-0.012386878
Healthy;-0.104464425;-0.015714429
